updated,headline,location,news_class,company_name,company_symbol,date_modified,date_created
2021-09-25T06:08:44Z,GUARANTY TRUST HOLDING COMPANY PLC DIRECTORS DEALINGS,https://doclib.ngxgroup.com/Financial_NewsDocs/234_INSIDER_DEALINGS.pdf,Directors Dealings,GUARANTY TRUST HOLDING COMPANY PLC,GTCO,2021-09-24T17:36:06Z,2021-09-24T17:36:06Z
2021-09-25T06:08:44Z,STANBIC IBTC  HOLDINGS PLC DIRECTORS DEALINGS,https://doclib.ngxgroup.com/Financial_NewsDocs/160_Notification_of_Insider_Dealing_-24_September_2021_-_Stanbic_Africa_Holdings_Limited.pdf,Directors Dealings,STANBIC IBTC  HOLDINGS PLC,STANBIC,2021-09-24T15:28:04Z,2021-09-24T15:28:04Z
2021-09-25T06:08:44Z,COURTEVILLE BUSINESS SOLUTIONS PLC DIRECTORS DEALINGS,https://doclib.ngxgroup.com/Financial_NewsDocs/45_Notification_of_Insider_Dealing.pdf,Directors Dealings,COURTEVILLE BUSINESS SOLUTIONS PLC,COURTVILLE,2021-09-22T14:07:04Z,2021-09-22T14:07:04Z
2021-09-25T06:08:44Z,COURTEVILLE BUSINESS SOLUTIONS PLC DIRECTORS DEALINGS,https://doclib.ngxgroup.com/Financial_NewsDocs/45_Notification_of_Insider_Dealing.pdf,Directors Dealings,COURTEVILLE BUSINESS SOLUTIONS PLC,COURTVILLE,2021-09-22T14:02:04Z,2021-09-22T14:02:04Z
2021-09-25T06:08:44Z,NESTLE NIGERIA PLC. DIRECTORS DEALINGS,https://doclib.ngxgroup.com/Financial_NewsDocs/121_NOTIFICATION_BY_NSA_OF_SHARES_PURCHASED.pdf,Directors Dealings,NESTLE NIGERIA PLC.,NESTLE,2021-09-21T19:18:04Z,2021-09-21T19:18:04Z
2021-09-25T06:08:44Z,NIGERIAN AVIATION HANDLING COMPANY PLC DIRECTORS DEALINGS,https://doclib.ngxgroup.com/Financial_NewsDocs/114_NAHCO_PLC_-__Notification_of_Share_Dealings_by_a_Director_1_-_Sept_2021.docx.pdf,Directors Dealings,NIGERIAN AVIATION HANDLING COMPANY PLC,NAHCO,2021-09-21T18:57:04Z,2021-09-21T18:57:04Z
2021-09-25T06:08:44Z,NIGERIAN AVIATION HANDLING COMPANY PLC DIRECTORS DEALINGS,https://doclib.ngxgroup.com/Financial_NewsDocs/114_NAHCO_PLC_-__Notification_of_Share_Dealings_by_a_Director_-_Sept_2021.docx.pdf,Directors Dealings,NIGERIAN AVIATION HANDLING COMPANY PLC,NAHCO,2021-09-21T18:52:04Z,2021-09-21T18:52:04Z
2021-09-25T06:08:44Z,MUTUAL BENEFITS ASSURANCE PLC. DIRECTORS DEALINGS,https://doclib.ngxgroup.com/Financial_NewsDocs/105_INSIDER_DEALING_-_21_09_2021.pdf,Directors Dealings,MUTUAL BENEFITS ASSURANCE PLC.,MBENEFIT,2021-09-21T15:59:03Z,2021-09-21T15:59:03Z
2021-09-25T06:08:44Z,UNITED CAPITAL PLC DIRECTORS DEALINGS,https://doclib.ngxgroup.com/Financial_NewsDocs/176_NOTICE_OF_INSIDER_DEALING-PURCHASE-_FLORENCE_IHUOMA_NNOROM_20_09_2021.pdf,Directors Dealings,UNITED CAPITAL PLC,UCAP,2021-09-21T11:54:04Z,2021-09-21T11:54:04Z
2021-09-25T06:08:44Z,ELLAH LAKES PLC. DIRECTORS DEALINGS,https://doclib.ngxgroup.com/Financial_NewsDocs/58_Notification_of_Share_Dealing_(21_September_2021).pdf,Directors Dealings,ELLAH LAKES PLC.,ELLAHLAKES,2021-09-21T09:46:04Z,2021-09-21T09:46:04Z
2021-09-25T06:08:44Z,NESTLE NIGERIA PLC. DIRECTORS DEALINGS,https://doclib.ngxgroup.com/Financial_NewsDocs/121_NOTIFICATION_OF_PURCHASE_OF_SHARES_BY_NSA--.pdf,Directors Dealings,NESTLE NIGERIA PLC.,NESTLE,2021-09-17T21:17:04Z,2021-09-17T21:17:04Z
2021-09-25T06:08:44Z,UNITED CAPITAL PLC DIRECTORS DEALINGS,https://doclib.ngxgroup.com/Financial_NewsDocs/176_NOTICE_OF_INSIDER_DEALING-_PURCHASE-_AJAYI_BABATUNDE-16_09_2021_.pdf,Directors Dealings,UNITED CAPITAL PLC,UCAP,2021-09-17T10:21:07Z,2021-09-17T10:21:07Z
2021-09-25T06:08:44Z,UNITED CAPITAL PLC DIRECTORS DEALINGS,https://doclib.ngxgroup.com/Financial_NewsDocs/176_NOTICE_OF_INSIDER_DEALING-_PURCHASE-_OKOLI_EJIKEME-16_09_2021_.pdf,Directors Dealings,UNITED CAPITAL PLC,UCAP,2021-09-17T10:12:07Z,2021-09-17T10:12:07Z
2021-09-25T06:08:44Z,JULIUS BERGER NIGERIA PLC DIRECTORS DEALINGS,https://doclib.ngxgroup.com/Financial_NewsDocs/92_NOTIFICATION_OF_SHARE_DEALING_BY_INSIDER.pdf,Directors Dealings,JULIUS BERGER NIGERIA PLC,JBERGER,2021-09-16T11:39:04Z,2021-09-16T11:39:04Z
2021-09-25T06:08:44Z,MCNICHOLS CONSOLIDATED PLC DIRECTORS DEALINGS,https://doclib.ngxgroup.com/Financial_NewsDocs/106_MCPLC_CHIMA_PURCHASE_SEPT_15_2021.pdf,Directors Dealings,MCNICHOLS CONSOLIDATED PLC,MCNICHOLS,2021-09-16T11:05:05Z,2021-09-16T11:05:05Z
